site_unique,site_location_name,established_date,description,bioregion_name,landform_pattern,landform_element,site_slope,site_aspect,comments,outcrop_lithology,other_outcrop_lithology,plot_dimensions,site_location_visit_id,visit_start_date,visit_end_date,visit_notes,location_description,erosion_type,erosion_abundance,erosion_state,microrelief,drainage_type,disturbance,climatic_condition,vegetation_condition,observer_veg,observer_soil,described_by,pit_marker_easting,pit_marker_northing,pit_marker_mga_zones,pit_marker_datum,pit_marker_location_method,soil_observation_type,a_s_c,plot_is_100m_by_100m,plot_is_aligned_to_grid,plot_is_permanently_marked,latitude,longitude,point,state,visit_date,visit_number
NSABBS0001-58580,NSABBS0001,2018-05-11T10:11:00,"Warrumbungle National Park, 28.8km west of Coonabarabran.",BBS,HIL,FAN,3,45,Lower bottom slope of the range. 3 degree slope but 5-6 degrees at SW corner. NW aspect. Mostly cobbles of metamorphosed sandstone origin. Some pockets of very low outcrop as well. Burnt in 2013 but not as severe as further up ridge- not as much crown burn. Pig trap in the middle of the plot. Old concrete block ( amenity block from old campground?) and old disused track just creeps in on western edge. Introduced plant effect- check with Herbarium Ids. Homogeneity- community is confined to plot- SW corner rises up onto slope of ridge with ironbarks. Northern edge is close to the road and western edge is turn around area for walking trail. 10m from northern edge to road. 10m from western edge to turnaround area.,SA,NA,100 x 100m.,58580,2018-05-11T15:21:54,2018-05-11T15:21:54,,"Warrumbungles National Park, 28.8km west of Coonabarabran",n/a,X,n/a,ND,3,2,DRY,DRY,1,31,1,688147,6537651,55,GDA94,,PA,,TRUE,TRUE,TRUE,-31.281189,148.976552,SW,NSW,2018-05-11,1
NSABBS0002-58555,NSABBS0002,2018-05-12T13:41:09,"Warrumbungle National Park. 893m north west of Visitors Centre, 27.3km west of Coonabarabran.",BBS,HIL,HSL,6,45,"The Landform element is a hill slope with a pattern of hills. South west corner is on the ridge crest with the rest of the site slope down in northeast direction at 6-7 degrees, levelling off at the northeast corner. There are outcrops present and cobbles and some gravels and boulder. Lithology metamorphosed sandstone. Site was burnt in 2013, most of the Eucalypts are still alive but a majority of the Callitris endlicheri are dead. Regeneration of the Acacia buxifolia and Acacia harpophylla has probably happened since the fire. Heavily impacted by goats and some roos, most of the grasses have been heavily grazed. Introduced plant species impact is low with Heliotropium amplexicaule and Urtica incisa present. Vegetation community is confined to the plot. Site gets more dense in southwest corner with Acacia harpophylla and some Eucalyptus dealbata on ridge line.",SA,NC,100 x 100m.,58555,2018-05-12T13:41:09,2018-05-12T13:41:09,,"Warrumbungle National Park, 893m north west of visitors centre. 27.3km west of Coonabarrabran",NC,2,NC,ND,2,1M,WET,DRY,1,31,1,689781,6537804,55,GDA94,TABLET,P,,TRUE,TRUE,TRUE,-31.2794527777778,148.992461111111,SW,NSW,2018-05-12,1
NSABBS0003-58581,NSABBS0003,2018-05-13T11:11:00,Pilliga State Conservation Area. 56.8km north east of Baradine.,BBS,PLA,PLA,0,,"Site is flat. No surface strew or lithology apparent, mostly quite sandy. A fair amount of dead course wood debris. Long unburnt. Grazing impact minimal, mostly kangaroos and goats. Community extends 50m from plot in all directions. Introduced plant impact is low, some Opuntia sp. present and possibly some introduced forbs. Some of the older trees, Eucalyptus crebra have been cut, maybe some selective logging previously.",NA,n/a,100 x 100m.,58581,2018-05-13T15:25:40,2018-05-13T15:25:40,,"Pilliga state conservation area, 56.8km north east of Barradine",W,1,S,ND,2,2,DRY,DRY,1,31,1,713809.693,6628728.976,55,GDA94,TABLET,PA,,TRUE,FALSE,TRUE,-30.4546472222222,149.226827777778,SW,NSW,2018-05-13,1
NSABBS0004-58556,NSABBS0004,2018-05-14T11:40:15,Pilliga State Conservation Area. 53.7km south west of Narrabri.,BBS,PLA,PLA,0,,Landform element is a plain and pattern plain. No surface strew or lithology. Long unburnt no scarring present. Some selective logging most likely Eucalyptus crebra. Grazing impact of goats and pigs. The plot is homogenous with the vegetation community extending 50m beyond the plot to the road.,NA,n/a,100 x 100m.,58556,2018-05-14T11:40:15,2018-05-14T11:40:15,"In basal wedge E. crebra is combined with white branched Ironbark.
See point intercept data for lower stratum of structural summary.","Pilliga State Conservation area, 53.7km south west of Narrabri.",n/a,0,n/a,ND,2,2,DRY,DRY,1,31,1,715724.694,6627992.718,55,GDA94,TABLET,PA,,TRUE,FALSE,TRUE,-30.4609638888889,149.246894444444,SW,NSW,2018-05-14,1
NSABBS0005-58582,NSABBS0005,2018-05-15T12:06:00,Pilliga State Conservation Area. 52km south west of Narrabri.,BBS,PLA,PLA,0,,"The plot is inside Australian Wildlife Conservancy enclosure on the Pilliga State Conservation Reserve (fence under construction at time of visit May 2018). The site is flat. In terms of homogeneity, 100m from the centre in all directions is the same community. Nearest infrastructure is the enclosure fence, 100m North of the site. Site is long unburnt, no evidence of scarring. In terms of grazing, there are lots of burrows possibly rabbits or something native Perentie? Introduced plant species minimal impact.",NA,NA,100 x 100m.,58582,2018-05-15T09:52:21,2018-05-15T09:52:21,"Pilliga state conservation area, 52km south west of Narrabri.","The plot is inside Australian Wildlife Conservancy enclosure on the Pilliga State Conservation Reserve (fence under construction at time of visit). The site is flat. In terms of homogeneity, 100m from the centre in all directions is the same community. Nearest infrastructure is the enclosure fence, 100m North of the site. Site is long unburnt, no evidence of scarring. In terms of grazing, there are lots of burrows possibly rabbits or something native Perentie? Introduced plant species minimal impact.",n/a,0,n/a,NH,2,2,DRY,DRY,1,31,1,718823.328,6623746.665,55,GDA94,TABLET,PA,,TRUE,FALSE,TRUE,-30.4987833333333,149.279986111111,SW,NSW,2018-05-15,1
NSABBS0006-58557,NSABBS0006,2018-05-15T15:49:17,Pilliga State Conservation Area. 53.7km south west of Narrabri.,BBS,PLA,PLA,0,,"The site is flat with a landform element of a plain and pattern plain. Site is very similar to NSABBS0005, and inside the new Australian Wildlife Conservancy predator free enclosure currently under construction May 2018. No surface strew or outcrops present. 150m from fence line of AWC enclosure (inside enclosure). Minimal impact of grazing from pig, goats and roos. Minimal effect of introduced plant species. The vegetation community extends well outside of the plot.",NA,NC,100 x 100m.,58557,2018-05-15T15:49:17,2018-05-15T15:49:17,"Piliga State conservation area, 53.7km south west of Narrabri.","The site is flat with a landform element of a plain and pattern plain. Site is very similar to NSABBS0005, but is inside the new Australian Wildlife Conservancy predator free enclosure currently under construction. No surface strew or outcrops present. 150m from fence line of AWC enclosure (inside enclosure). Minimal impact of grazing from pig, goats and roos. Minimal effect of introduced plant species. The vegetation community extends well outside of the plot.",n/a,0,n/a,ND,3,2,DRY,DRY,1,31,1,717572.23,6622479.512,55,WGS84,TABLET,PA,,TRUE,FALSE,TRUE,-30.5102722222222,149.267288888889,SW,NSW,2018-05-15,1
NSABHC0001-53596,NSABHC0001,2012-05-29T00:00:00,Broken Hill Town Common? 7.5km north north west of Broken Hill,BHC,RIS,FOO,2,225,Toe slope of a low rise. Sloping to the south west by 2 degrees. Rise on north eastern edge. Minimal surface strew- some very fine gravels but lots of cryptogam crust. Introduced plant effect is minimal- Conyza bonariensis present but very low cover.  Homogeneity- confined to site- more Maireana spp. on northern edge. Road is 60m north from the site. Plot is marked- SW corner is marked with fiberglass pole centre with a star picket.   ,NA,NA,100 x 100m.,53596,2012-05-29T00:00:00,2012-05-29T00:00:00,, Introduced plant effect is minimal- Conyza bonariensis present but very low cover.  Homogeneity- confined to site- more Maireana spp. on northern edge. Plot is marked- SW corner is marked with fiberglass pole centre with a star picket.   ,NC,NC,NC,NC,7,NC,,,22,7,7,541017.94,6471303.4719,54,WGS84,GPS,P,,TRUE,FALSE,TRUE,-31.8933505555556,141.433754444444,SW,NSW,2012-05-29,1
NSABHC0002-53597,NSABHC0002,2012-05-31T00:00:00,"Broken Hill Town Common?, 4.5km north west of Broken Hill",BHC,RIS,PLA,3,225,"Plot is on a plain between low rises. Slope to the south east rising more towards the north west corner where there is a low rise. 3 degree slope. Drainage line though the centre of the site running east but overall slope is to the south east. Some gravels through the site- mostly quartzite but some limestone gravels. Plot is within the regeneration reserve but some dirt bike tracks around ( but not in) the site- 50m away. 200m from main sealed road. Plot not marked. Minimal impact of introduced plant species,  Sonchus oleraceus present.",NA,NA,100 x 100m.,53597,2012-05-31T00:00:00,2012-05-31T00:00:00,, Homogeneity- community is confined to the plot- continues to the east but to the south is a limestone rise with Acacia aneura.Lots of Cryptogam. ,NC,NC,NC,NC,7,NC,,,22,7,7,540928,6467571,54,WGS84,GPS,P,,TRUE,FALSE,FALSE,-31.9270269444444,141.432960833333,SW,NSW,2012-05-31,1
NSABHC0003-53598,NSABHC0003,2012-06-04T00:00:00,"Broken Hill Town Common?, 14.5km north north west of Broken Hill
",BHC,NC,PLA,,,"Minimal impact of introduce species- Carthamus lanatus, Medicago minima and Sonchus oleraceus low cover.",NC,NC,,53598,2012-06-04T00:00:00,2012-06-04T00:00:00,,14.5km north north west of Broken Hill,NC,NC,NC,NC,7,NC,,,22,7,7,541073,6478467,54,WGS84,GPS,P,,TRUE,FALSE,TRUE,-31.8287208333333,141.434033611111,SW,NSW,2012-06-04,1
NSABHC0004-53599,NSABHC0004,2012-06-06T00:00:00,"100m west of Yancowinna Creek, 47km east of Broken Hill",BHC,PLA,PLA,,,"-------------- new visit physicalStatusComments start --------------
The site is low chenapod shrubland damoniated by Maireana aphylla, Maireana georgei, Atriplex vesicaria, Sclerolaena ventricasa and the Burr medic. The rest of the site is made up of other Sclerolaena and Maireana species, Tiny grass, Abutilon, Chenopodium, Sida intrcicata and other grasses and forbs. The upper shrub layer is a maximum of 50cm. The dominant Mairenana species average 40cm, and the Atriplex, Sclerolaena species average 20cm and the small grass and forbs average 5-10cm.
There has been rain in the past 6 week, it is dry underfoot but all of the plants are green and showing signs of active growth. The Sclerolaena’s, Atriplex and Maireanas are all fruiting. The Medicado, Sida, Pimelea are all flowering. Some of the grasses such as the Austrostipa and Rhytidasperma have started to dry off and are setting seed.
The site is a plain on a plain, with a 1 degree slope from the North to the South. There are some gilgai’s that are cracking. There is small amount of scattered gibber throughout the site but would be less than 5% of the site.
In terms of introduced species, there are a few scattered including Thistle and Medicargo. There is evidence of grazing from sheep on the site with some of the more palatable species showing damage especially on the Minuria cunninghamii and some of the Maireana species. No recent fires to note. The closest infrastructure is a track 20m from the SE corner, to the West is a water point 1km away. The site is homogenous, however it doesn’t extend to the South due to the road, but does extend to the North and East approximately 100m
-------------- new visit physicalStatusComments end ---------------
-------------- new visit physicalStatusComments start --------------
The site is low chenapod shrubland damoniated by Maireana aphylla, Maireana georgei, Atriplex vesicaria, Sclerolaena ventricasa and the Burr medic. The rest of the site is made up of other Sclerolaena and Maireana species, Tiny grass, Abutilon, Chenopodium, Sida intrcicata and other grasses and forbs. The upper shrub layer is a maximum of 50cm. The dominant Mairenana species average 40cm, and the Atriplex, Sclerolaena species average 20cm and the small grass and forbs average 5-10cm.
There has been rain in the past 6 week, it is dry underfoot but all of the plants are green and showing signs of active growth. The Sclerolaena’s, Atriplex and Maireanas are all fruiting. The Medicado, Sida, Pimelea are all flowering. Some of the grasses such as the Austrostipa and Rhytidasperma have started to dry off and are setting seed.
The site is a plain on a plain, with a 1 degree slope from the North to the South. There are some gilgai’s that are cracking. There is small amount of scattered gibber throughout the site but would be less than 5% of the site.
In terms of introduced species, there are a few scattered including Thistle and Medicargo. There is evidence of grazing from sheep on the site with some of the more palatable species showing damage especially on the Minuria cunninghamii and some of the Maireana species. No recent fires to note. The closest infrastructure is a track 20m from the SE corner, to the West is a water point 1km away. The site is homogenous, however it doesn’t extend to the South due to the road, but does extend to the North and East approximately 100m
-------------- new visit physicalStatusComments end ---------------
Moderate impact of introduced plant species- high number of species at low cover.",NC,NC,,53599,2012-06-06T00:00:00,2012-06-06T00:00:00,,"Glen Idol Station,3.5km south south east of homestead, 47km north east of Broken hill. 300m south of Barrier highway.",NC,NC,NC,NC,7,NC,,,22,7,7,589699.9932,6476100.4883,54,WGS84,GPS,P,,TRUE,FALSE,TRUE,-31.8472788888889,141.9480675,SW,NSW,2012-06-06,1
