site_unique,site_location_name,established_date,bioregion_name,landform_pattern,landform_element,site_slope,site_aspect,outcrop_lithology,other_outcrop_lithology,site_location_visit_id,visit_start_date,visit_end_date,erosion_type,erosion_abundance,erosion_state,microrelief,drainage_type,disturbance,climatic_condition,vegetation_condition,observer_veg,observer_soil,described_by,pit_marker_easting,pit_marker_northing,pit_marker_mga_zones,pit_marker_datum,pit_marker_location_method,soil_observation_type,a_s_c,plot_is_100m_by_100m,plot_is_aligned_to_grid,plot_is_permanently_marked,latitude,longitude,point,state,visit_date,visit_number,x,y
NSABBS0001-58580,NSABBS0001,2018-05-11T10:11:00Z,BBS,HIL,FAN,3,45,SA,,58580,2018-05-11T15:21:54Z,2018-05-11T15:21:54Z,n/a,X,n/a,ND,3,2,DRY,DRY,1,31,1,688147,6537651,55,GDA94,"",PA,"",TRUE,TRUE,TRUE,-31.281189,148.976552,SW,NSW,2018-05-11,1,148.976552,-31.281189
NSABBS0002-58555,NSABBS0002,2018-05-12T13:41:09Z,BBS,HIL,HSL,6,45,SA,NC,58555,2018-05-12T13:41:09Z,2018-05-12T13:41:09Z,NC,2,NC,ND,2,1M,WET,DRY,1,31,1,689781,6537804,55,GDA94,TABLET,P,"",TRUE,TRUE,TRUE,-31.2794527777778,148.992461111111,SW,NSW,2018-05-12,1,148.992461111111,-31.2794527777778
NSABBS0003-58581,NSABBS0003,2018-05-13T11:11:00Z,BBS,PLA,PLA,0,"",,n/a,58581,2018-05-13T15:25:40Z,2018-05-13T15:25:40Z,W,1,S,ND,2,2,DRY,DRY,1,31,1,713809.693,6628728.976,55,GDA94,TABLET,PA,"",TRUE,FALSE,TRUE,-30.4546472222222,149.226827777778,SW,NSW,2018-05-13,1,149.226827777778,-30.4546472222222
NSABBS0004-58556,NSABBS0004,2018-05-14T11:40:15Z,BBS,PLA,PLA,0,"",,n/a,58556,2018-05-14T11:40:15Z,2018-05-14T11:40:15Z,n/a,0,n/a,ND,2,2,DRY,DRY,1,31,1,715724.694,6627992.718,55,GDA94,TABLET,PA,"",TRUE,FALSE,TRUE,-30.4609638888889,149.246894444444,SW,NSW,2018-05-14,1,149.246894444444,-30.4609638888889
NSABBS0005-58582,NSABBS0005,2018-05-15T12:06:00Z,BBS,PLA,PLA,0,"",,,58582,2018-05-15T09:52:21Z,2018-05-15T09:52:21Z,n/a,0,n/a,NH,2,2,DRY,DRY,1,31,1,718823.328,6623746.665,55,GDA94,TABLET,PA,"",TRUE,FALSE,TRUE,-30.4987833333333,149.279986111111,SW,NSW,2018-05-15,1,149.279986111111,-30.4987833333333
NSABBS0006-58557,NSABBS0006,2018-05-15T15:49:17Z,BBS,PLA,PLA,0,"",,NC,58557,2018-05-15T15:49:17Z,2018-05-15T15:49:17Z,n/a,0,n/a,ND,3,2,DRY,DRY,1,31,1,717572.23,6622479.512,55,WGS84,TABLET,PA,"",TRUE,FALSE,TRUE,-30.5102722222222,149.267288888889,SW,NSW,2018-05-15,1,149.267288888889,-30.5102722222222
NSABHC0001-53596,NSABHC0001,2012-05-29T00:00:00Z,BHC,RIS,FOO,2,225,,,53596,2012-05-29T00:00:00Z,2012-05-29T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,541017.94,6471303.4719,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.8933505555556,141.433754444444,SW,NSW,2012-05-29,1,141.433754444444,-31.8933505555556
NSABHC0002-53597,NSABHC0002,2012-05-31T00:00:00Z,BHC,RIS,PLA,3,225,,,53597,2012-05-31T00:00:00Z,2012-05-31T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,540928,6467571,54,WGS84,GPS,P,"",TRUE,FALSE,FALSE,-31.9270269444444,141.432960833333,SW,NSW,2012-05-31,1,141.432960833333,-31.9270269444444
NSABHC0003-53598,NSABHC0003,2012-06-04T00:00:00Z,BHC,NC,PLA,"","",NC,NC,53598,2012-06-04T00:00:00Z,2012-06-04T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,541073,6478467,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.8287208333333,141.434033611111,SW,NSW,2012-06-04,1,141.434033611111,-31.8287208333333
NSABHC0004-53599,NSABHC0004,2012-06-06T00:00:00Z,BHC,PLA,PLA,"","",NC,NC,53599,2012-06-06T00:00:00Z,2012-06-06T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,589699.9932,6476100.4883,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.8472788888889,141.9480675,SW,NSW,2012-06-06,1,141.9480675,-31.8472788888889
NSABHC0005-53600,NSABHC0005,2012-07-30T00:00:00Z,BHC,NC,PLA,"","",NC,NC,53600,2012-07-30T00:00:00Z,2012-07-30T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,588986,6476364,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.8449577777778,141.940497777778,SW,NSW,2012-07-30,1,141.940497777778,-31.8449577777778
NSABHC0006-53601,NSABHC0006,2012-08-01T00:00:00Z,BHC,PLA,PLA,"","",NC,NC,53601,2012-08-01T00:00:00Z,2012-08-01T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,573987,6472132,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.8842083333333,141.782308888889,SW,NSW,2012-08-01,1,141.782308888889,-31.8842083333333
NSABHC0007-53602,NSABHC0007,2012-08-02T00:00:00Z,BHC,NC,NC,"","",NC,NC,53602,2012-08-02T00:00:00Z,2012-08-02T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,572283,6470268,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.9011336111111,141.764431944444,SW,NSW,2012-08-02,1,141.764431944444,-31.9011336111111
NSABHC0008-53603,NSABHC0008,2012-08-31T00:00:00Z,BHC,NC,SAP,"","",NC,NC,53603,2012-08-31T00:00:00Z,2012-08-31T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,550011,6472087,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.8859216666667,141.52881,SW,NSW,2012-08-31,1,141.52881,-31.8859216666667
NSABHC0009-53604,NSABHC0009,2012-09-03T00:00:00Z,BHC,RIS,RES,"","",NC,NC,53604,2012-09-03T00:00:00Z,2012-09-03T00:00:00Z,R,1,S,Z,4,0,"","",22,7,7,566520,6561297,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.0802347222222,141.697368611111,SW,NSW,2012-09-03,1,141.697368611111,-31.0802347222222
NSABHC0009-58026,NSABHC0009,2012-09-03T00:00:00Z,BHC,RIS,RES,"","",NC,NC,58026,2016-09-13T11:11:06Z,2016-09-13T11:11:06Z,R,1,S,Z,4,0,WET,FFR,1,11,1,,,54,WGS84,"",NC,"",TRUE,FALSE,TRUE,-31.0802347222222,141.697368611111,SW,NSW,2016-09-13,2,141.697368611111,-31.0802347222222
NSABHC0010-53605,NSABHC0010,2012-09-04T00:00:00Z,BHC,RIS,RES,"","",NC,NC,53605,2012-09-04T00:00:00Z,2012-09-04T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,566803,6561685,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.0767180555556,141.700309722222,SW,NSW,2012-09-04,1,141.700309722222,-31.0767180555556
NSABHC0011-53606,NSABHC0011,2012-09-18T00:00:00Z,BHC,PLA,STP,"","",NC,NC,53606,2012-09-18T00:00:00Z,2012-09-18T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,564717,6567395,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.0253161111111,141.6780775,SW,NSW,2012-09-18,1,141.6780775,-31.0253161111111
